Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Date
75.22993704792512,76.06455088304719,74.7062573381639,75.36085510253906,12811437,0.0,0.0,BEL.NS,2022-06-21
75.000819473776,75.26266306213456,73.65888700246175,73.92073059082031,11056173,0.0,0.0,BEL.NS,2022-06-22
74.23166715426744,74.72261734376829,73.65888943608132,74.26439666748047,9004842,0.0,0.0,BEL.NS,2022-06-23
74.93537181698365,76.55550913283972,74.72262621020231,76.42459106445312,9668958,0.0,0.0,BEL.NS,2022-06-24
76.91553824621228,78.97752770633149,76.81734220753033,78.56839752197266,14977953,0.0,0.0,BEL.NS,2022-06-27
78.37202193522592,78.71568560330743,76.85007320204275,77.39012145996094,9497565,0.0,0.0,BEL.NS,2022-06-28
76.8828118954021,77.79924586660998,76.65369778412042,77.27556610107422,20182623,0.0,0.0,BEL.NS,2022-06-29
77.07917708131171,78.29018401085065,75.86816266046765,76.62095642089844,19573899,0.0,0.0,BEL.NS,2022-06-30
76.26092907589307,77.07918191176098,74.37895579383304,75.21356964111328,15324042,0.0,0.0,BEL.NS,2022-07-01
74.85354450470727,76.14638665350228,74.28077420813256,75.18084716796875,13538427,0.0,0.0,BEL.NS,2022-07-04
75.86816384452298,76.8828012087273,74.65715689608416,75.0171890258789,14922519,0.0,0.0,BEL.NS,2022-07-05
75.21356564292394,75.83543386964749,73.36432197329596,75.62268829345703,21103464,0.0,0.0,BEL.NS,2022-07-06
75.76997786087394,77.84833569126879,75.63905980610102,77.45557403564453,19351467,0.0,0.0,BEL.NS,2022-07-07
77.93016313858116,79.35391571099183,76.40821453388936,77.24282836914062,21179418,0.0,0.0,BEL.NS,2022-07-08
77.17737337381851,78.02835575600986,76.52277557514371,76.83370971679688,10090566,0.0,0.0,BEL.NS,2022-07-11
76.42458733401737,77.50467632809804,75.3444908486308,76.01545715332031,12953874,0.0,0.0,BEL.NS,2022-07-12
75.90090715086744,77.01372565393953,75.60633402179265,76.40821838378906,12866319,0.0,0.0,BEL.NS,2022-07-13
76.5882313469012,77.88106587720686,76.47367430233332,77.7010498046875,16879224,0.0,0.0,BEL.NS,2022-07-14
77.73378195563446,80.7449422913839,77.70105244054844,80.35218811035156,24300105,0.0,0.0,BEL.NS,2022-07-15
81.7432074175886,85.35987485072103,81.54683033623068,83.2815170288086,114055476,0.0,0.0,BEL.NS,2022-07-18
83.00331665295897,84.65618339162434,82.49599792994137,83.51063537597656,30352653,0.0,0.0,BEL.NS,2022-07-19
84.4761618930045,84.60707994552443,82.80693424945936,83.42880249023438,16157313,0.0,0.0,BEL.NS,2022-07-20
83.46153072970802,88.33830302470739,83.26515365392491,87.94554138183594,56209248,0.0,0.0,BEL.NS,2022-07-21
88.32193847990285,88.40376601079795,86.86545637432576,87.32367706298828,28925541,0.0,0.0,BEL.NS,2022-07-22
88.27284821209246,89.81115785305522,87.73279999095834,88.38739776611328,27481563,0.0,0.0,BEL.NS,2022-07-25
88.61651219501108,88.69833972645739,86.07993363323207,87.35640716552734,16387791,0.0,0.0,BEL.NS,2022-07-26
87.79826235267676,89.63114518226423,87.650975787566,89.40203857421875,26434413,0.0,0.0,BEL.NS,2022-07-27
89.68023833685726,90.6294092156035,88.7474284692882,89.14019012451172,26787639,0.0,0.0,BEL.NS,2022-07-28
89.68023626264643,90.433022550717,89.02563102197905,90.07299041748047,14660187,0.0,0.0,BEL.NS,2022-07-29
